Country,PROMETHEE II,PROMETHEE II dir
United States,0.0017480424771243272,-1.0
Austria,0.00577433540718869,1.0
Belgium,0.010403838166038506,1.0
Bulgaria,0.0016409944256932988,-1.0
Czechia,0.0008820096347026679,-1.0
Denmark,0.002588718075386125,-1.0
Finland,0.0043084659505448425,1.0
France,0.0019593425070267016,1.0
Germany,0.0019209325937027313,1.0
Greece,0.009534636673825108,1.0
Hungary,0.0013583068523914709,-1.0
Ireland,0.0023434020462121965,1.0
Italy,0.0061146163047619715,1.0
Lithuania,0.0026413746816698782,-1.0
Luxembourg,0.004859088259825318,-1.0
Netherlands,0.002625067370773095,-1.0
Norway,0.0017219251265002454,-1.0
Poland,0.004312699547405767,-1.0
Portugal,0.003089399087863272,1.0
Romania,0.006316975306171328,-1.0
Slovakia,0.009462874403241787,-1.0
Slovenia,0.0009995796065954564,1.0
Spain,0.002962787232873292,1.0
Sweden,0.0008971185475502768,-1.0
Switzerland,0.0008869581964413139,1.0
United Kingdom,0.004983602430497391,1.0
