,Ai,Variability,dir list
0,United States,0.0017480424771243272,$\downarrow$
1,Austria,0.00577433540718869,$\uparrow$
2,Belgium,0.010403838166038506,$\uparrow$
3,Bulgaria,0.0016409944256932988,$\downarrow$
4,Czechia,0.0008820096347026679,$\downarrow$
5,Denmark,0.002588718075386125,$\downarrow$
6,Finland,0.0043084659505448425,$\uparrow$
7,France,0.0019593425070267016,$\uparrow$
8,Germany,0.0019209325937027313,$\uparrow$
9,Greece,0.009534636673825108,$\uparrow$
10,Hungary,0.0013583068523914709,$\downarrow$
11,Ireland,0.0023434020462121965,$\uparrow$
12,Italy,0.0061146163047619715,$\uparrow$
13,Lithuania,0.0026413746816698782,$\downarrow$
14,Luxembourg,0.004859088259825318,$\downarrow$
15,Netherlands,0.002625067370773095,$\downarrow$
16,Norway,0.0017219251265002454,$\downarrow$
17,Poland,0.004312699547405767,$\downarrow$
18,Portugal,0.003089399087863272,$\uparrow$
19,Romania,0.006316975306171328,$\downarrow$
20,Slovakia,0.009462874403241787,$\downarrow$
21,Slovenia,0.0009995796065954564,$\uparrow$
22,Spain,0.002962787232873292,$\uparrow$
23,Sweden,0.0008971185475502768,$\downarrow$
24,Switzerland,0.0008869581964413139,$\uparrow$
25,United Kingdom,0.004983602430497391,$\uparrow$
