Country,PROM. II 2020,PROM. II 2021,PROM. II 2022,T-PROM. II
United States,11,12,14,14
Austria,2,1,1,1
Belgium,12,3,3,3
Bulgaria,18,22,23,23
Czechia,6,7,9,9
Denmark,7,9,11,11
Finland,15,8,13,12
France,13,6,6,6
Germany,1,2,2,2
Greece,23,11,10,10
Hungary,21,24,24,24
Ireland,22,17,16,16
Italy,26,23,18,18
Lithuania,5,10,8,8
Luxembourg,9,15,17,17
Netherlands,10,14,12,13
Norway,3,5,5,5
Poland,19,25,26,25
Portugal,14,13,7,7
Romania,20,26,25,26
Slovakia,8,16,20,21
Slovenia,16,21,15,15
Spain,24,18,19,19
Sweden,17,19,22,22
Switzerland,4,4,4,4
United Kingdom,25,20,21,20
